sequence,next
"[12, 12, 38, 1131, 21]",56
"[12, 38, 1131, 21, 56]",56
"[1509, 1584, 1199, 1125, 1108]",1108
"[1584, 1199, 1125, 1108, 1108]",1108
"[1160, 1246, 1885, 1152, 1169]",593
"[82, 613, 1298, 714, 709]",709
"[613, 1298, 714, 709, 709]",1424
"[1298, 714, 709, 709, 1424]",1522
"[714, 709, 709, 1424, 1522]",1334
"[709, 709, 1424, 1522, 1334]",1108
"[18, 748, 748, 714, 25]",2642
"[748, 748, 714, 25, 2642]",121
"[748, 714, 25, 2642, 121]",1054
"[2395, 5620, 1991, 25, 3522]",2530
"[5620, 1991, 25, 3522, 2530]",42
"[1991, 25, 3522, 2530, 42]",4024
"[25, 3522, 2530, 42, 4024]",1592
"[1330, 2885, 1160, 2937, 1759]",1335
"[2885, 1160, 2937, 1759, 1335]",724
"[1160, 2937, 1759, 1335, 724]",105
"[2937, 1759, 1335, 724, 105]",301
"[1759, 1335, 724, 105, 301]",121
"[1335, 724, 105, 301, 121]",968
"[724, 105, 301, 121, 968]",118
"[105, 301, 121, 968, 118]",694
"[301, 121, 968, 118, 694]",5145
"[121, 968, 118, 694, 5145]",1822
"[968, 118, 694, 5145, 1822]",738
"[118, 694, 5145, 1822, 738]",787
"[694, 5145, 1822, 738, 787]",1242
"[5145, 1822, 738, 787, 1242]",1457
"[1822, 738, 787, 1242, 1457]",275
"[738, 787, 1242, 1457, 275]",97
"[787, 1242, 1457, 275, 97]",1125
"[1242, 1457, 275, 97, 1125]",1459
"[1457, 275, 97, 1125, 1459]",187
"[1761, 1418, 474, 1076, 1076]",4269
"[1107, 3950, 3950, 29, 29]",414
"[642, 1107, 1458, 73, 610]",709
"[1107, 1458, 73, 610, 709]",709
"[1458, 73, 610, 709, 709]",3271
"[73, 610, 709, 709, 3271]",628
"[610, 709, 709, 3271, 628]",592
"[709, 709, 3271, 628, 592]",972
"[709, 3271, 628, 592, 972]",427
"[3271, 628, 592, 972, 427]",2774
"[628, 592, 972, 427, 2774]",12
"[592, 972, 427, 2774, 12]",4539
"[972, 427, 2774, 12, 4539]",611
"[427, 2774, 12, 4539, 611]",359
"[2774, 12, 4539, 611, 359]",1282
"[12, 4539, 611, 359, 1282]",956
"[4539, 611, 359, 1282, 956]",1621
"[611, 359, 1282, 956, 1621]",1621
"[359, 1282, 956, 1621, 1621]",1125
"[1282, 956, 1621, 1621, 1125]",5596
"[956, 1621, 1621, 1125, 5596]",1980
"[1621, 1621, 1125, 5596, 1980]",2285
"[1621, 1125, 5596, 1980, 2285]",284
"[1125, 5596, 1980, 2285, 284]",1592
"[2744, 3468, 29, 54, 489]",732
"[3468, 29, 54, 489, 732]",280
"[2500, 2507, 1089, 1050, 4810]",4169
"[2507, 1089, 1050, 4810, 4169]",4315
"[1089, 1050, 4810, 4169, 4315]",1797
"[1050, 4810, 4169, 4315, 1797]",859
"[4810, 4169, 4315, 1797, 859]",1003
"[4169, 4315, 1797, 859, 1003]",1275
"[4315, 1797, 859, 1003, 1275]",2071
"[1797, 859, 1003, 1275, 2071]",169
"[859, 1003, 1275, 2071, 169]",66
"[1003, 1275, 2071, 169, 66]",1175
"[1275, 2071, 169, 66, 1175]",1459
"[2071, 169, 66, 1175, 1459]",2175
"[169, 66, 1175, 1459, 2175]",284
"[66, 1175, 1459, 2175, 284]",284
"[172, 203, 2587, 748, 748]",3417
"[203, 2587, 748, 748, 3417]",3417
"[2587, 748, 748, 3417, 3417]",1289
"[748, 748, 3417, 3417, 1289]",2784
"[748, 3417, 3417, 1289, 2784]",2784
"[3417, 3417, 1289, 2784, 2784]",4
"[3417, 1289, 2784, 2784, 4]",79
"[1289, 2784, 2784, 4, 79]",142
"[2784, 2784, 4, 79, 142]",2980
"[2784, 4, 79, 142, 2980]",2980
"[146, 2632, 1050, 2699, 2713]",3211
"[2632, 1050, 2699, 2713, 3211]",1108
"[1050, 2699, 2713, 3211, 1108]",2980
"[2699, 2713, 3211, 1108, 2980]",1796
"[2587, 2496, 2496, 2773, 1125]",284
"[2496, 2496, 2773, 1125, 284]",2980
"[1302, 5505, 5363, 5265, 5307]",2930
"[1584, 1628, 4462, 1629, 2946]",3046
"[502, 5505, 2713, 2713, 1796]",1796
"[5505, 2530, 2465, 3194, 4955]",3876
"[1785, 1589, 5026, 1545, 510]",1796
"[1589, 5026, 1545, 510, 1796]",1796
"[2120, 3557, 493, 1771, 1891]",581
"[3557, 493, 1771, 1891, 581]",22
"[1824, 199, 1567, 49, 978]",3757
"[224, 434, 1730, 153, 153]",2992
"[434, 1730, 153, 153, 2992]",112
"[1730, 153, 153, 2992, 112]",112
"[153, 153, 2992, 112, 112]",5116
"[153, 2992, 112, 112, 5116]",510
"[2992, 112, 112, 5116, 510]",79
"[112, 112, 5116, 510, 79]",4539
"[112, 5116, 510, 79, 4539]",1131
"[5116, 510, 79, 4539, 1131]",764
"[510, 79, 4539, 1131, 764]",1567
"[79, 4539, 1131, 764, 1567]",934
"[4539, 1131, 764, 1567, 934]",1796
"[1130, 3417, 5382, 1125, 1592]",1108
"[190, 135, 492, 336, 1253]",659
"[46, 1588, 985, 790, 5382]",5382
"[1588, 985, 790, 5382, 5382]",79
"[985, 790, 5382, 5382, 79]",1822
"[790, 5382, 5382, 79, 1822]",42
"[1176, 62, 5505, 11, 2283]",301
"[62, 5505, 11, 2283, 301]",1661
"[5505, 11, 2283, 301, 1661]",184
"[1176, 1730, 5243, 1069, 1623]",790
"[1730, 5243, 1069, 1623, 790]",2655
"[5243, 1069, 1623, 790, 2655]",3441
"[2507, 296, 972, 790, 2784]",2308
"[296, 972, 790, 2784, 2308]",1598
"[972, 790, 2784, 2308, 1598]",2429
"[790, 2784, 2308, 1598, 2429]",1998
"[2784, 2308, 1598, 2429, 1998]",789
"[2308, 1598, 2429, 1998, 789]",3481
"[1598, 2429, 1998, 789, 3481]",2021
"[2429, 1998, 789, 3481, 2021]",3757
"[1998, 789, 3481, 2021, 3757]",179
"[789, 3481, 2021, 3757, 179]",1012
"[3481, 2021, 3757, 179, 1012]",1012
"[2021, 3757, 179, 1012, 1012]",1235
"[46, 1965, 2989, 2858, 4169]",1500
"[1965, 2989, 2858, 4169, 1500]",1054
"[2989, 2858, 4169, 1500, 1054]",1604
"[1537, 5065, 4539, 3207, 1108]",1108
"[39, 3317, 1618, 1315, 102]",5507
"[172, 203, 254, 1164, 142]",142
"[203, 254, 1164, 142, 142]",452
"[254, 1164, 142, 142, 452]",55
"[1164, 142, 142, 452, 55]",66
"[142, 142, 452, 55, 66]",3757
"[810, 2051, 1050, 587, 1694]",44
"[2051, 1050, 587, 1694, 44]",2090
"[1050, 587, 1694, 44, 2090]",1410
"[203, 57, 985, 596, 551]",1162
"[57, 985, 596, 551, 1162]",1162
"[985, 596, 551, 1162, 1162]",1988
"[4364, 2210, 1484, 587, 587]",3211
"[2210, 1484, 587, 587, 3211]",1064
"[1484, 587, 587, 3211, 1064]",5417
"[1304, 951, 587, 1085, 1124]",694
"[951, 587, 1085, 1124, 694]",384
"[587, 1085, 1124, 694, 384]",322
"[1085, 1124, 694, 384, 322]",1492
"[2120, 2385, 3241, 5300, 4489]",5183
"[1107, 203, 203, 961, 3346]",1789
"[203, 203, 961, 3346, 1789]",1704
"[203, 961, 3346, 1789, 1704]",510
"[961, 3346, 1789, 1704, 510]",583
"[3346, 1789, 1704, 510, 583]",1109
"[1789, 1704, 510, 583, 1109]",1638
"[1704, 510, 583, 1109, 1638]",3177
"[510, 583, 1109, 1638, 3177]",2095
"[583, 1109, 1638, 3177, 2095]",1410
"[1381, 660, 1789, 1789, 1789]",3489
"[660, 1789, 1789, 1789, 3489]",1489
"[1789, 1789, 1789, 3489, 1489]",1489
"[1789, 1789, 3489, 1489, 1489]",2021
"[1789, 3489, 1489, 1489, 2021]",2021
"[4329, 4329, 1630, 2010, 5299]",3194
"[4329, 1630, 2010, 5299, 3194]",3724
"[1630, 2010, 5299, 3194, 3724]",4955
"[1584, 146, 2895, 587, 587]",587
"[2210, 1079, 3450, 4462, 2568]",2568
"[1079, 3450, 4462, 2568, 2568]",4847
"[3450, 4462, 2568, 2568, 4847]",635
"[4462, 2568, 2568, 4847, 635]",1094
"[2568, 2568, 4847, 635, 1094]",5534
"[5397, 2266, 3270, 1094, 1094]",4191
"[2266, 3270, 1094, 1094, 4191]",3935
"[1063, 1381, 5505, 719, 2639]",1886
"[1381, 5505, 719, 2639, 1886]",2930
"[5505, 719, 2639, 1886, 2930]",5417
"[2341, 1466, 1547, 3092, 2080]",125
"[1466, 1547, 3092, 2080, 125]",125
"[1547, 3092, 2080, 125, 125]",3177
"[2210, 1930, 4462, 2568, 4810]",2784
"[1930, 4462, 2568, 4810, 2784]",2784
"[4462, 2568, 4810, 2784, 2784]",4169
"[2568, 4810, 2784, 2784, 4169]",3305
"[4810, 2784, 2784, 4169, 3305]",4309
"[628, 1181, 2784, 2784, 2727]",5534
"[203, 1069, 2784, 2784, 2784]",2784
"[1069, 2784, 2784, 2784, 2784]",1460
"[2275, 2863, 3462, 4315, 1760]",1973
"[2863, 3462, 4315, 1760, 1973]",2214
"[1063, 2299, 3317, 1381, 3788]",5505
"[2299, 3317, 1381, 3788, 5505]",1834
"[3317, 1381, 3788, 5505, 1834]",3359
"[1381, 3788, 5505, 1834, 3359]",3005
"[3788, 5505, 1834, 3359, 3005]",1442
"[890, 890, 1537, 19, 1263]",976
"[2500, 1501, 3716, 226, 3346]",3346
"[1501, 3716, 226, 3346, 3346]",1117
"[3716, 226, 3346, 3346, 1117]",1866
"[226, 3346, 3346, 1117, 1866]",709
"[3346, 3346, 1117, 1866, 709]",592
"[3346, 1117, 1866, 709, 592]",549
"[1117, 1866, 709, 592, 549]",12
"[1866, 709, 592, 549, 12]",1162
"[709, 592, 549, 12, 1162]",15
"[592, 549, 12, 1162, 15]",1125
"[549, 12, 1162, 15, 1125]",1125
"[12, 1162, 15, 1125, 1125]",1248
"[1162, 15, 1125, 1125, 1248]",1175
"[15, 1125, 1125, 1248, 1175]",1095
"[1125, 1125, 1248, 1175, 1095]",1459
"[1125, 1248, 1175, 1095, 1459]",356
"[1469, 5169, 5562, 5555, 5344]",5376
"[5169, 5562, 5555, 5344, 5376]",5653
"[5562, 5555, 5344, 5376, 5653]",5415
"[172, 239, 1164, 551, 4323]",4
"[239, 1164, 551, 4323, 4]",2317
"[1164, 551, 4323, 4, 2317]",1661
"[551, 4323, 4, 2317, 1661]",1661
"[4323, 4, 2317, 1661, 1661]",1567
"[4, 2317, 1661, 1661, 1567]",187
"[1619, 4341, 4341, 2234, 1771]",4914
"[4341, 4341, 2234, 1771, 4914]",2182
"[4341, 2234, 1771, 4914, 2182]",4
"[2234, 1771, 4914, 2182, 4]",35
"[1771, 4914, 2182, 4, 35]",1131
"[4914, 2182, 4, 35, 1131]",4054
"[2182, 4, 35, 1131, 4054]",1270
"[4, 35, 1131, 4054, 1270]",1478
"[35, 1131, 4054, 1270, 1478]",2118
"[610, 610, 860, 2252, 3337]",1388
"[610, 860, 2252, 3337, 1388]",1299
"[860, 2252, 3337, 1388, 1299]",4309
"[2252, 3337, 1388, 1299, 4309]",1478
"[3337, 1388, 1299, 4309, 1478]",1478
"[1388, 1299, 4309, 1478, 1478]",56
"[1299, 4309, 1478, 1478, 56]",3724
"[4309, 1478, 1478, 56, 3724]",1108
"[1478, 1478, 56, 3724, 1108]",1108
"[1478, 56, 3724, 1108, 1108]",4895
"[694, 1567, 1567, 364, 364]",3757
"[1789, 1484, 2131, 2028, 1109]",1144
"[1484, 2131, 2028, 1109, 1144]",284
"[2131, 2028, 1109, 1144, 284]",284
"[2028, 1109, 1144, 284, 284]",1310
"[3417, 587, 2784, 2784, 735]",2980
"[5433, 4949, 4187, 4820, 3365]",3710
"[3346, 3346, 2496, 12, 12]",125
"[3346, 2496, 12, 12, 125]",1248
"[4399, 2308, 1998, 3117, 3117]",1156
"[1495, 4341, 602, 4386, 42]",546
"[4341, 602, 4386, 42, 546]",3058
"[602, 4386, 42, 546, 3058]",886
"[4386, 42, 546, 3058, 886]",1592
"[4462, 4462, 1694, 5534, 2912]",1796
"[1340, 1450, 1176, 1526, 1771]",4329
"[1450, 1176, 1526, 1771, 4329]",972
"[1176, 1526, 1771, 4329, 972]",790
"[1526, 1771, 4329, 972, 790]",1500
"[1771, 4329, 972, 790, 1500]",1500
"[4329, 972, 790, 1500, 1500]",1876
"[972, 790, 1500, 1500, 1876]",1162
"[790, 1500, 1500, 1876, 1162]",55
"[1582, 2154, 219, 1537, 57]",1261
"[2154, 219, 1537, 57, 1261]",1629
"[219, 1537, 57, 1261, 1629]",2236
"[1537, 57, 1261, 1629, 2236]",187
"[1330, 2733, 1190, 1930, 4399]",4132
"[2733, 1190, 1930, 4399, 4132]",2694
"[1190, 1930, 4399, 4132, 2694]",1217
"[1930, 4399, 4132, 2694, 1217]",2035
"[4399, 4132, 2694, 1217, 2035]",2568
"[4132, 2694, 1217, 2035, 2568]",3503
"[2694, 1217, 2035, 2568, 3503]",1717
"[1217, 2035, 2568, 3503, 1717]",4169
"[2035, 2568, 3503, 1717, 4169]",3623
"[2568, 3503, 1717, 4169, 3623]",2878
"[3503, 1717, 4169, 3623, 2878]",4539
"[1717, 4169, 3623, 2878, 4539]",2649
"[4169, 3623, 2878, 4539, 2649]",2818
"[3428, 3428, 3823, 5417, 5417]",5417
"[1315, 1315, 179, 4271, 1310]",1235
"[810, 2210, 4825, 3166, 1916]",4308
"[2210, 4825, 3166, 1916, 4308]",1602
"[4825, 3166, 1916, 4308, 1602]",2784
"[3166, 1916, 4308, 1602, 2784]",79
"[1916, 4308, 1602, 2784, 79]",3010
"[4308, 1602, 2784, 79, 3010]",1125
"[1602, 2784, 79, 3010, 1125]",21
"[2784, 79, 3010, 1125, 21]",5534
"[79, 3010, 1125, 21, 5534]",1156
"[1107, 1089, 549, 3243, 1571]",1162
"[1089, 549, 3243, 1571, 1162]",3996
"[549, 3243, 1571, 1162, 3996]",1125
"[3243, 1571, 1162, 3996, 1125]",1125
"[1571, 1162, 3996, 1125, 1125]",1886
"[1162, 3996, 1125, 1125, 1886]",759
"[3996, 1125, 1125, 1886, 759]",3757
"[1125, 1125, 1886, 759, 3757]",2285
"[3294, 1069, 432, 587, 2726]",790
"[1069, 432, 587, 2726, 790]",1436
"[1771, 3718, 3865, 2283, 4308]",4810
"[3718, 3865, 2283, 4308, 4810]",790
"[3865, 2283, 4308, 4810, 790]",2752
"[2283, 4308, 4810, 790, 2752]",1489
"[4308, 4810, 790, 2752, 1489]",3757
"[4810, 790, 2752, 1489, 3757]",1108
"[502, 4329, 4729, 2429, 4326]",189
"[4329, 4729, 2429, 4326, 189]",1094
"[2673, 4394, 1945, 1460, 1973]",2639
"[4394, 1945, 1460, 1973, 2639]",1235
"[610, 610, 1388, 3406, 2780]",2773
"[610, 1388, 3406, 2780, 2773]",1125
"[2069, 18, 10, 2751, 5505]",4054
"[18, 10, 2751, 5505, 4054]",20
"[10, 2751, 5505, 4054, 20]",1094
"[2751, 5505, 4054, 20, 1094]",1235
"[5505, 4054, 20, 1094, 1235]",1235
"[1315, 1164, 512, 1500, 1500]",1445
"[1619, 4341, 4341, 1315, 142]",1108
"[916, 1573, 1584, 1361, 5505]",2241
"[1573, 1584, 1361, 5505, 2241]",1801
"[1584, 1361, 5505, 2241, 1801]",2678
"[1361, 5505, 2241, 1801, 2678]",3406
"[5505, 2241, 1801, 2678, 3406]",1162
"[2241, 1801, 2678, 3406, 1162]",364
"[1801, 2678, 3406, 1162, 364]",1125
"[2678, 3406, 1162, 364, 1125]",3757
"[71, 2356, 954, 2496, 101]",2512
"[2356, 954, 2496, 101, 2512]",55
"[954, 2496, 101, 2512, 55]",1125
"[2496, 101, 2512, 55, 1125]",1896
"[101, 2512, 55, 1125, 1896]",3757
"[2068, 1176, 1176, 752, 366]",4628
"[1176, 1176, 752, 366, 4628]",1902
"[1176, 752, 366, 4628, 1902]",758
"[752, 366, 4628, 1902, 758]",1442
"[62, 219, 262, 1135, 11]",1891
"[219, 262, 1135, 11, 1891]",142
"[2614, 587, 2784, 1541, 35]",412
"[2500, 2500, 1670, 3572, 5275]",5275
"[2500, 1670, 3572, 5275, 5275]",3337
"[1670, 3572, 5275, 5275, 3337]",3057
"[3572, 5275, 5275, 3337, 3057]",5505
"[5275, 5275, 3337, 3057, 5505]",112
"[5275, 3337, 3057, 5505, 112]",2989
"[3337, 3057, 5505, 112, 2989]",1377
"[3057, 5505, 112, 2989, 1377]",1377
"[5505, 112, 2989, 1377, 1377]",25
"[112, 2989, 1377, 1377, 25]",3166
"[2989, 1377, 1377, 25, 3166]",2283
"[1377, 1377, 25, 3166, 2283]",985
"[1377, 25, 3166, 2283, 985]",587
"[25, 3166, 2283, 985, 587]",1498
"[3166, 2283, 985, 587, 1498]",5382
"[2283, 985, 587, 1498, 5382]",3508
"[985, 587, 1498, 5382, 3508]",367
"[587, 1498, 5382, 3508, 367]",93
"[1498, 5382, 3508, 367, 93]",174
"[5382, 3508, 367, 93, 174]",792
"[3508, 367, 93, 174, 792]",792
"[367, 93, 174, 792, 792]",4054
"[93, 174, 792, 792, 4054]",1270
"[174, 792, 792, 4054, 1270]",3481
"[792, 792, 4054, 1270, 3481]",66
"[792, 4054, 1270, 3481, 66]",1274
"[4054, 1270, 3481, 66, 1274]",284
"[1270, 3481, 66, 1274, 284]",171
"[3481, 66, 1274, 284, 171]",1108
"[66, 1274, 284, 171, 1108]",1012
"[1274, 284, 171, 1108, 1012]",1310
"[1340, 1190, 1771, 4462, 142]",4539
"[1190, 1771, 4462, 142, 4539]",1478
"[1771, 4462, 142, 4539, 1478]",1592
"[1340, 3664, 1330, 3431, 239]",1584
"[3664, 1330, 3431, 239, 1584]",1371
"[1330, 3431, 239, 1584, 1371]",5505
"[3431, 239, 1584, 1371, 5505]",5505
"[239, 1584, 1371, 5505, 5505]",790
"[1584, 1371, 5505, 5505, 790]",2713
"[1371, 5505, 5505, 790, 2713]",2713
"[5505, 5505, 790, 2713, 2713]",575
"[5505, 790, 2713, 2713, 575]",84
"[790, 2713, 2713, 575, 84]",3101
"[2713, 2713, 575, 84, 3101]",1162
"[2713, 575, 84, 3101, 1162]",1936
"[575, 84, 3101, 1162, 1936]",3194
"[84, 3101, 1162, 1936, 3194]",21
"[3101, 1162, 1936, 3194, 21]",21
"[1162, 1936, 3194, 21, 21]",1502
"[202, 203, 203, 1190, 972]",596
"[203, 203, 1190, 972, 596]",245
"[203, 1190, 972, 596, 245]",2784
"[1190, 972, 596, 245, 2784]",142
"[972, 596, 245, 2784, 142]",4539
"[596, 245, 2784, 142, 4539]",1998
"[245, 2784, 142, 4539, 1998]",364
"[2784, 142, 4539, 1998, 364]",364
"[142, 4539, 1998, 364, 364]",21
"[4539, 1998, 364, 364, 21]",21
"[1998, 364, 364, 21, 21]",145
"[68, 1190, 9, 1050, 849]",1610
"[1190, 9, 1050, 849, 1610]",3757
"[2864, 1081, 2649, 2377, 2945]",692
"[2587, 219, 180, 1090, 222]",1269
"[193, 3306, 291, 5669, 1628]",37
"[3306, 291, 5669, 1628, 37]",888
"[291, 5669, 1628, 37, 888]",888
"[3297, 4126, 4509, 3838, 2878]",1081
"[587, 1567, 1175, 1796, 1796]",1796
"[2210, 2210, 1555, 1555, 65]",888
"[2210, 1555, 1555, 65, 888]",888
"[1555, 1555, 65, 888, 888]",2773
"[1555, 65, 888, 888, 2773]",2321
"[65, 888, 888, 2773, 2321]",2175
"[888, 888, 2773, 2321, 2175]",2235
"[3009, 117, 587, 1534, 1534]",113
"[2313, 1376, 694, 1162, 3727]",1108
"[1376, 694, 1162, 3727, 1108]",1108
"[1930, 2283, 4891, 830, 1650]",4191
"[587, 587, 972, 29, 792]",66
"[587, 972, 29, 792, 66]",179
"[972, 29, 792, 66, 179]",171
"[29, 792, 66, 179, 171]",1235
"[792, 66, 179, 171, 1235]",1235
"[813, 2960, 1584, 3521, 5505]",4329
"[2960, 1584, 3521, 5505, 4329]",1478
"[1584, 3521, 5505, 4329, 1478]",3481
"[3521, 5505, 4329, 1478, 3481]",56
"[5505, 4329, 1478, 3481, 56]",1274
"[4329, 1478, 3481, 56, 1274]",3724
"[2395, 30, 30, 4576, 180]",117
"[30, 30, 4576, 180, 117]",919
"[30, 4576, 180, 117, 919]",35
"[4576, 180, 117, 919, 35]",4385
"[180, 117, 919, 35, 4385]",242
"[117, 919, 35, 4385, 242]",22
"[919, 35, 4385, 242, 22]",222
"[660, 4308, 2496, 1131, 1131]",4267
"[291, 65, 1312, 863, 97]",2235
"[810, 2885, 1418, 2895, 25]",25
"[2885, 1418, 2895, 25, 25]",3502
"[3346, 1530, 709, 1377, 12]",4706
"[46, 1107, 1176, 1991, 3117]",1108
"[810, 2051, 2340, 4704, 4215]",5368
"[2051, 2340, 4704, 4215, 5368]",2568
"[2340, 4704, 4215, 5368, 2568]",2667
"[4704, 4215, 5368, 2568, 2667]",2131
"[4215, 5368, 2568, 2667, 2131]",1630
"[5368, 2568, 2667, 2131, 1630]",1630
"[2568, 2667, 2131, 1630, 1630]",142
"[2667, 2131, 1630, 1630, 142]",1876
"[2131, 1630, 1630, 142, 1876]",2144
"[1630, 1630, 142, 1876, 2144]",1131
"[1630, 142, 1876, 2144, 1131]",1094
"[142, 1876, 2144, 1131, 1094]",670
"[1876, 2144, 1131, 1094, 670]",1310
"[743, 1562, 2620, 5380, 2655]",2217
"[1562, 2620, 5380, 2655, 2217]",1489
"[2620, 5380, 2655, 2217, 1489]",2615
"[5380, 2655, 2217, 1489, 2615]",3636
"[2655, 2217, 1489, 2615, 3636]",2785
"[2217, 1489, 2615, 3636, 2785]",2214
"[1489, 2615, 3636, 2785, 2214]",1310
"[1381, 1761, 1418, 995, 1110]",2231
"[1761, 1418, 995, 1110, 2231]",1069
"[1418, 995, 1110, 2231, 1069]",2196
"[995, 1110, 2231, 1069, 2196]",3361
"[1110, 2231, 1069, 2196, 3361]",25
"[2231, 1069, 2196, 3361, 25]",4492
"[1069, 2196, 3361, 25, 4492]",790
"[2196, 3361, 25, 4492, 790]",4912
"[3361, 25, 4492, 790, 4912]",1712
"[25, 4492, 790, 4912, 1712]",1442
"[4492, 790, 4912, 1712, 1442]",2736
"[790, 4912, 1712, 1442, 2736]",2295
"[4912, 1712, 1442, 2736, 2295]",1158
"[3825, 4582, 3424, 1295, 1079]",2299
"[4582, 3424, 1295, 1079, 2299]",3317
"[3424, 1295, 1079, 2299, 3317]",4399
"[1295, 1079, 2299, 3317, 4399]",4132
"[1079, 2299, 3317, 4399, 4132]",2863
"[2299, 3317, 4399, 4132, 2863]",5026
"[3317, 4399, 4132, 2863, 5026]",2741
"[4399, 4132, 2863, 5026, 2741]",125
"[4132, 2863, 5026, 2741, 125]",5302
"[2863, 5026, 2741, 125, 5302]",2228
"[5026, 2741, 125, 5302, 2228]",448
"[2741, 125, 5302, 2228, 448]",4558
"[125, 5302, 2228, 448, 4558]",4513
"[5302, 2228, 448, 4558, 4513]",662
"[4216, 3239, 2386, 1589, 1545]",3516
"[3239, 2386, 1589, 1545, 3516]",510
"[2386, 1589, 1545, 3516, 510]",2498
"[1589, 1545, 3516, 510, 2498]",3211
"[1545, 3516, 510, 2498, 3211]",4750
"[660, 2784, 79, 5051, 4955]",4955
"[1619, 961, 4914, 1425, 364]",171
"[91, 146, 2878, 4539, 4539]",4077
"[2283, 2283, 3243, 362, 5053]",42
"[2283, 3243, 362, 5053, 42]",42
"[3243, 362, 5053, 42, 42]",1125
"[362, 5053, 42, 42, 1125]",2930
"[1582, 4341, 2784, 2784, 2784]",1108
"[5248, 219, 3337, 3337, 2784]",452
"[734, 1633, 687, 5092, 1640]",1207
"[99, 1107, 2769, 1063, 4786]",2051
"[1107, 2769, 1063, 4786, 2051]",1176
"[2769, 1063, 4786, 2051, 1176]",1290
"[1063, 4786, 2051, 1176, 1290]",188
"[4786, 2051, 1176, 1290, 188]",1050
"[2051, 1176, 1290, 188, 1050]",1789
"[1176, 1290, 188, 1050, 1789]",4020
"[1290, 188, 1050, 1789, 4020]",790
"[188, 1050, 1789, 4020, 790]",3270
"[1050, 1789, 4020, 790, 3270]",1442
"[1789, 4020, 790, 3270, 1442]",22
"[2210, 72, 1466, 1465, 2785]",66
"[70, 3925, 1295, 1107, 401]",226
"[3925, 1295, 1107, 401, 226]",10
"[1295, 1107, 401, 226, 10]",3817
"[1107, 401, 226, 10, 3817]",34
"[401, 226, 10, 3817, 34]",1302
"[226, 10, 3817, 34, 1302]",1302
"[10, 3817, 34, 1302, 1302]",1050
"[3817, 34, 1302, 1302, 1050]",1771
"[34, 1302, 1302, 1050, 1771]",2055
"[1302, 1302, 1050, 1771, 2055]",180
"[1302, 1050, 1771, 2055, 180]",4308
"[1050, 1771, 2055, 180, 4308]",790
"[1771, 2055, 180, 4308, 790]",246
"[2055, 180, 4308, 790, 246]",4
"[180, 4308, 790, 246, 4]",4
"[4308, 790, 246, 4, 4]",125
"[790, 246, 4, 4, 125]",93
"[246, 4, 4, 125, 93]",2555
"[4, 4, 125, 93, 2555]",3117
"[4, 125, 93, 2555, 3117]",3002
"[125, 93, 2555, 3117, 3002]",1162
"[93, 2555, 3117, 3002, 1162]",27
"[2555, 3117, 3002, 1162, 27]",1118
"[3117, 3002, 1162, 27, 1118]",14
"[3002, 1162, 27, 1118, 14]",252
"[1162, 27, 1118, 14, 252]",1094
"[27, 1118, 14, 252, 1094]",1125
"[1118, 14, 252, 1094, 1125]",3757
"[14, 252, 1094, 1125, 3757]",16
"[252, 1094, 1125, 3757, 16]",3724
"[1094, 1125, 3757, 16, 3724]",2622
"[629, 3659, 4169, 2878, 2633]",3295
"[3659, 4169, 2878, 2633, 3295]",746
"[4453, 4699, 5001, 1315, 5026]",1579
"[2297, 5611, 3497, 3497, 3309]",4484
"[5611, 3497, 3497, 3309, 4484]",4156
"[3497, 3497, 3309, 4484, 4156]",126
"[1930, 644, 3346, 1302, 1789]",2658
"[644, 3346, 1302, 1789, 2658]",2784
"[3346, 1302, 1789, 2658, 2784]",3228
"[1302, 1789, 2658, 2784, 3228]",4309
"[1789, 2658, 2784, 3228, 4309]",3757
"[2658, 2784, 3228, 4309, 3757]",3757
"[2784, 3228, 4309, 3757, 3757]",1796
"[3020, 3399, 2170, 1738, 3780]",3361
"[3399, 2170, 1738, 3780, 3361]",1272
"[2170, 1738, 3780, 3361, 1272]",694
"[1738, 3780, 3361, 1272, 694]",2552
"[3780, 3361, 1272, 694, 2552]",2045
"[4399, 10, 892, 3297, 2784]",5474
"[10, 892, 3297, 2784, 5474]",5534
"[892, 3297, 2784, 5474, 5534]",171
"[1107, 4704, 3521, 3521, 1424]",4309
"[3428, 1040, 2713, 2317, 5265]",552
"[1325, 153, 219, 1771, 3417]",3217
"[153, 219, 1771, 3417, 3217]",4
"[219, 1771, 3417, 3217, 4]",4
"[1771, 3417, 3217, 4, 4]",2878
"[3417, 3217, 4, 4, 2878]",3891
"[3217, 4, 4, 2878, 3891]",2850
"[4, 4, 2878, 3891, 2850]",1896
"[4, 2878, 3891, 2850, 1896]",1120
"[2878, 3891, 2850, 1896, 1120]",1120
"[2587, 2587, 4831, 5444, 2784]",4309
"[1467, 1131, 1094, 1094, 3194]",934
"[1079, 2587, 1930, 1489, 789]",364
"[2587, 1930, 1489, 789, 364]",4955
"[1669, 1261, 1623, 684, 1125]",1125
"[1261, 1623, 684, 1125, 1125]",3481
"[2417, 1396, 5575, 3102, 3423]",4574
"[1396, 5575, 3102, 3423, 4574]",4260
"[5575, 3102, 3423, 4574, 4260]",2798
"[3102, 3423, 4574, 4260, 2798]",5601
"[3423, 4574, 4260, 2798, 5601]",2199
