sequence,next
"[131, 25, 25, 130, 12]",4
"[25, 25, 130, 12, 4]",13
"[25, 130, 12, 4, 13]",109
"[130, 12, 4, 13, 109]",109
"[12, 4, 13, 109, 109]",67
"[4, 13, 109, 109, 67]",45
"[302, 319, 54, 42, 42]",44
"[319, 54, 42, 42, 44]",405
"[54, 42, 42, 44, 405]",66
"[42, 42, 44, 405, 66]",179
"[226, 40, 117, 118, 48]",49
"[72, 60, 135, 88, 221]",138
"[219, 407, 12, 12, 142]",22
"[161, 47, 74, 49, 278]",21
"[47, 74, 49, 278, 21]",22
"[74, 49, 278, 21, 22]",22
"[226, 57, 12, 12, 270]",67
"[203, 295, 295, 25, 414]",218
"[116, 102, 21, 21, 284]",284
"[70, 224, 202, 203, 82]",91
"[224, 202, 203, 82, 91]",372
"[202, 203, 82, 91, 372]",47
"[203, 82, 91, 372, 47]",149
"[82, 91, 372, 47, 149]",388
"[91, 372, 47, 149, 388]",25
"[372, 47, 149, 388, 25]",210
"[47, 149, 388, 25, 210]",168
"[149, 388, 25, 210, 168]",415
"[388, 25, 210, 168, 415]",249
"[25, 210, 168, 415, 249]",54
"[210, 168, 415, 249, 54]",205
"[168, 415, 249, 54, 205]",84
"[415, 249, 54, 205, 84]",84
"[249, 54, 205, 84, 84]",136
"[54, 205, 84, 84, 136]",156
"[205, 84, 84, 136, 156]",270
"[84, 84, 136, 156, 270]",109
"[84, 136, 156, 270, 109]",15
"[136, 156, 270, 109, 15]",67
"[156, 270, 109, 15, 67]",308
"[270, 109, 15, 67, 308]",7
"[109, 15, 67, 308, 7]",45
"[15, 67, 308, 7, 45]",17
"[67, 308, 7, 45, 17]",309
"[308, 7, 45, 17, 309]",159
"[7, 45, 17, 309, 159]",185
"[47, 12, 84, 84, 129]",49
"[12, 84, 84, 129, 49]",21
"[84, 84, 129, 49, 21]",21
"[84, 129, 49, 21, 21]",22
"[129, 49, 21, 21, 22]",45
"[103, 103, 203, 364, 364]",364
"[199, 110, 417, 136, 129]",27
"[72, 149, 25, 25, 142]",266
"[149, 25, 25, 142, 266]",110
"[25, 25, 142, 266, 110]",15
"[25, 142, 266, 110, 15]",278
"[142, 266, 110, 15, 278]",67
"[266, 110, 15, 278, 67]",22
"[110, 15, 278, 67, 22]",45
"[426, 40, 263, 105, 130]",160
"[40, 263, 105, 130, 160]",102
"[263, 105, 130, 160, 102]",66
"[105, 130, 160, 102, 66]",247
"[130, 160, 102, 66, 247]",113
"[160, 102, 66, 247, 113]",16
"[92, 72, 47, 30, 75]",198
"[72, 47, 30, 75, 198]",334
"[146, 29, 435, 435, 167]",33
"[104, 134, 134, 3, 27]",22
"[226, 41, 30, 30, 292]",301
"[41, 30, 30, 292, 301]",228
"[30, 30, 292, 301, 228]",364
"[30, 292, 301, 228, 364]",364
"[10, 262, 30, 157, 29]",110
"[65, 25, 205, 182, 22]",7
"[146, 63, 343, 267, 136]",27
"[63, 343, 267, 136, 27]",21
"[343, 267, 136, 27, 21]",7
"[161, 135, 130, 54, 207]",185
"[30, 218, 88, 447, 209]",127
"[46, 92, 161, 226, 47]",30
"[92, 161, 226, 47, 30]",25
"[161, 226, 47, 30, 25]",130
"[226, 47, 30, 25, 130]",12
"[47, 30, 25, 130, 12]",194
"[30, 25, 130, 12, 194]",42
"[25, 130, 12, 194, 42]",42
"[130, 12, 194, 42, 42]",44
"[12, 194, 42, 42, 44]",235
"[194, 42, 42, 44, 235]",298
"[42, 42, 44, 235, 298]",2
"[42, 44, 235, 298, 2]",19
"[44, 235, 298, 2, 19]",27
"[235, 298, 2, 19, 27]",109
"[298, 2, 19, 27, 109]",15
"[2, 19, 27, 109, 15]",21
